z,ds,Channel 3,Channel 4,Channel 5,Channel 6
1.022785,1.167794,0.000000,0.011982,-0.002002,0.020310
1.022765,1.167774,0.000000,0.011961,-0.002002,-0.000572
1.022777,1.167786,0.000000,0.011975,0.000572,-0.000572
1.022761,1.167770,0.000000,0.011970,-0.002002,-0.010584
1.022757,1.167767,0.000000,0.011956,-0.002002,-0.000572
1.022750,1.167759,0.000000,0.011961,-0.004863,-0.021740
1.022751,1.167761,0.000000,0.011983,-0.002002,-0.010584
1.022759,1.167769,0.000000,0.011966,-0.002002,-0.010584
1.022703,1.167713,0.000000,0.011918,-0.002002,-0.000572
1.022702,1.167712,0.000000,0.011918,0.014875,0.030894
1.022669,1.167679,0.000000,0.011876,-0.002002,-0.000572
1.022669,1.167679,0.000000,0.011875,-0.018880,0.020310
1.022683,1.167693,0.000000,0.011869,-0.002002,-0.000572
1.022660,1.167670,0.000000,0.011863,0.012014,-0.000572
1.022632,1.167642,0.000000,0.011841,-0.002002,0.021168
1.022627,1.167636,0.000000,0.011823,0.014875,0.020310
1.022618,1.167628,0.000000,0.011828,-0.002002,-0.000572
1.022640,1.167650,0.000000,0.011856,-0.018880,-0.010584
1.022661,1.167671,0.000000,0.011876,-0.021454,-0.010584
1.022655,1.167665,0.000000,0.011870,-0.004863,-0.000572
1.022639,1.167649,0.000000,0.011849,0.000572,0.041478
1.022657,1.167667,0.000000,0.011851,-0.002002,0.020310
1.022627,1.167636,0.000000,0.011858,-0.002002,-0.021740
1.022633,1.167643,0.000000,0.011837,0.009726,-0.021740
1.022643,1.167653,0.000000,0.011846,-0.018880,0.009726
1.022665,1.167675,0.000000,0.011878,0.014875,-0.021740
1.022693,1.167703,0.000000,0.011912,-0.002002,-0.000572
1.022704,1.167714,0.000000,0.011918,-0.002002,-0.000572
1.022742,1.167752,0.000000,0.011937,-0.002002,-0.000572
1.022720,1.167730,0.000000,0.011933,-0.002002,-0.000572
1.022712,1.167722,0.000000,0.011931,-0.007151,-0.021740
1.022693,1.167702,0.000000,0.011917,-0.007151,-0.000572
1.022713,1.167723,0.000000,0.011938,0.012014,-0.010584
1.022702,1.167711,0.000000,0.011918,0.014875,-0.000572
1.022745,1.167754,0.000000,0.011948,-0.002002,-0.000572
1.022721,1.167730,0.000000,0.011924,-0.016305,-0.021740
1.022745,1.167755,0.000000,0.011940,-0.002002,-0.010584
1.022704,1.167714,0.000000,0.011890,-0.002002,-0.000572
1.022711,1.167721,0.000000,0.011915,-0.016305,0.009726
1.022717,1.167727,0.000000,0.011927,-0.004863,-0.010584
1.022714,1.167724,0.000000,0.011929,-0.004863,0.020024
1.022715,1.167724,0.000000,0.011917,-0.002002,-0.000572
1.022724,1.167733,0.000000,0.011924,0.048629,-0.031752
1.022721,1.167731,0.000000,0.011946,-0.021454,-0.000572
1.022761,1.167771,0.000000,0.011959,-0.004863,-0.000572
1.022759,1.167769,0.000000,0.011961,0.012014,-0.010584
1.022717,1.167727,0.000000,0.011914,-0.004863,0.009726
1.022718,1.167728,0.000000,0.011929,-0.004863,0.020310
1.022728,1.167738,0.000000,0.011934,-0.002002,-0.000572
1.022734,1.167743,0.000000,0.011942,0.014875,-0.000572
1.022721,1.167731,0.000000,0.011936,0.017163,-0.000572
1.022725,1.167735,0.000000,0.011926,-0.002002,0.020310
1.022723,1.167732,0.000000,0.011918,-0.002002,0.009726
1.022731,1.167740,0.000000,0.011950,0.012014,-0.000572
1.022727,1.167737,0.000000,0.011941,-0.002002,0.010298
1.022730,1.167739,0.000000,0.011947,-0.018880,-0.000572
1.022708,1.167718,0.000000,0.011898,-0.002002,-0.000572
1.022714,1.167723,0.000000,0.011924,-0.004863,-0.000572
1.022734,1.167744,0.000000,0.011947,-0.004863,0.031466
1.022698,1.167708,0.000000,0.011902,-0.002002,-0.000572
1.022675,1.167685,0.000000,0.011906,-0.002002,-0.010584
1.022689,1.167699,0.000000,0.011907,0.014875,-0.011156
1.022727,1.167737,0.000000,0.011943,0.028892,0.020310
1.022725,1.167735,0.000000,0.011925,-0.002002,-0.010584
1.022737,1.167747,0.000000,0.011927,-0.002002,-0.010584
1.022735,1.167745,0.000000,0.011951,-0.002002,0.020310
1.022686,1.167696,0.000000,0.011889,-0.016305,-0.000572
1.022689,1.167699,0.000000,0.011886,-0.002002,-0.000572
1.022653,1.167662,0.000000,0.011870,-0.002002,-0.010584
1.022665,1.167674,0.000000,0.011885,-0.004863,0.030894
1.022643,1.167653,0.000000,0.011847,-0.002002,0.020310
1.022627,1.167637,0.000000,0.011850,-0.002002,0.020310
1.022681,1.167690,0.000000,0.011897,0.014875,-0.011156
1.022657,1.167667,0.000000,0.011849,0.014875,-0.000572
1.022634,1.167644,0.000000,0.011847,-0.018880,-0.000572
1.022646,1.167656,0.000000,0.011850,-0.002002,0.010298
1.022619,1.167628,0.000000,0.011838,-0.002002,-0.000572
1.022647,1.167656,0.000000,0.011839,-0.018880,-0.000572
1.022648,1.167658,0.000000,0.011854,0.012014,-0.000572
1.022620,1.167630,0.000000,0.011816,-0.004863,0.020310
1.022622,1.167631,0.000000,0.011844,0.028892,0.009726
1.022608,1.167618,0.000000,0.011811,0.014875,0.009726
1.022589,1.167599,0.000000,0.011780,0.000572,-0.000572
1.022574,1.167584,0.000000,0.011780,-0.002002,0.020310
1.022582,1.167592,0.000000,0.011781,0.014875,-0.021740
1.022542,1.167552,0.000000,0.011748,-0.016305,-0.000572
1.022556,1.167566,0.000000,0.011770,-0.002002,-0.000572
1.022573,1.167582,0.000000,0.011787,-0.004863,0.009726
1.022562,1.167572,0.000000,0.011764,0.017163,0.009726
1.022529,1.167539,0.000000,0.011730,0.014875,-0.000572
1.022530,1.167540,0.000000,0.011734,0.012014,-0.031752
1.022569,1.167579,0.000000,0.011776,0.017163,-0.000572
1.022538,1.167548,0.000000,0.011737,-0.002002,-0.000572
1.022530,1.167540,0.000000,0.011729,-0.004863,0.010298
1.022560,1.167570,0.000000,0.011755,-0.004863,-0.000572
1.022540,1.167550,0.000000,0.011766,-0.021454,-0.000572
1.022558,1.167568,0.000000,0.011772,-0.002002,-0.000572
1.022559,1.167568,0.000000,0.011775,0.012014,-0.000572
1.022572,1.167582,0.000000,0.011779,-0.018880,-0.031752
1.022575,1.167585,0.000000,0.011783,0.017163,0.030894
1.022607,1.167617,0.000000,0.011804,-0.002002,0.020310
1.022609,1.167619,0.000000,0.011830,-0.002002,0.020310
1.022638,1.167647,0.000000,0.011852,-0.018880,0.030894
1.022639,1.167649,0.000000,0.011838,0.014875,-0.031752
1.022624,1.167634,0.000000,0.011843,0.014875,-0.021740
1.022639,1.167649,0.000000,0.011838,-0.002002,0.020310
1.022622,1.167632,0.000000,0.011836,0.000572,0.020310
1.022662,1.167672,0.000000,0.011866,-0.002002,-0.000572
1.022621,1.167631,0.000000,0.011827,0.014875,0.020310
1.022615,1.167625,0.000000,0.011828,0.014875,-0.137592
1.022655,1.167665,0.000000,0.011851,0.014875,-0.031752
1.022640,1.167649,0.000000,0.011836,0.000572,0.030894
1.022613,1.167622,0.000000,0.011828,-0.002002,-0.031752
1.022613,1.167623,0.000000,0.011818,0.014875,-0.010584
1.022623,1.167632,0.000000,0.011821,-0.002002,0.020310
1.022557,1.167567,0.000000,0.011760,0.017163,-0.010584
1.022551,1.167561,0.000000,0.011753,0.014875,-0.010584
1.022563,1.167572,0.000000,0.011773,-0.018880,-0.000572
1.022565,1.167574,0.000000,0.011771,0.000572,-0.000572
1.022577,1.167587,0.000000,0.011792,0.014875,-0.031752
1.022606,1.167615,0.000000,0.011805,-0.002002,0.020310
1.022603,1.167613,0.000000,0.011814,0.012014,-0.000572
1.022627,1.167637,0.000000,0.011827,-0.002002,-0.042336
1.022642,1.167652,0.000000,0.011852,0.000572,0.020310
1.022624,1.167634,0.000000,0.011835,-0.018880,-0.000572
1.022564,1.167574,0.000000,0.011775,0.014875,-0.000572
1.022591,1.167601,0.000000,0.011799,0.014875,-0.000572
1.022565,1.167574,0.000000,0.011757,-0.002002,0.020310
1.022573,1.167583,0.000000,0.011783,-0.002002,0.030894
1.022589,1.167599,0.000000,0.011788,0.017163,0.009726
1.022561,1.167571,0.000000,0.011784,0.000572,0.020310
1.022586,1.167595,0.000000,0.011795,-0.002002,-0.000572
1.022592,1.167602,0.000000,0.011803,-0.002002,-0.000572
1.022602,1.167611,0.000000,0.011784,-0.002002,-0.000572
1.022603,1.167613,0.000000,0.011809,-0.002002,-0.000572
1.022576,1.167586,0.000000,0.011794,0.017163,-0.021740
1.022577,1.167587,0.000000,0.011791,-0.004863,0.020310
1.022548,1.167558,0.000000,0.011771,-0.002002,-0.021740
1.022554,1.167564,0.000000,0.011756,-0.002002,-0.000572
1.022527,1.167537,0.000000,0.011730,-0.002002,-0.010584
1.022557,1.167567,0.000000,0.011759,-0.004863,-0.010584
1.022547,1.167557,0.000000,0.011760,-0.004863,0.020310
1.022555,1.167565,0.000000,0.011759,-0.002002,-0.000572
1.022544,1.167554,0.000000,0.011750,-0.018880,-0.010584
1.022521,1.167531,0.000000,0.011720,-0.002002,-0.021740
1.022519,1.167529,0.000000,0.011732,0.014875,0.020310
1.022538,1.167547,0.000000,0.011750,0.014875,-0.031752
1.022557,1.167567,0.000000,0.011758,0.014875,-0.010584
1.022586,1.167596,0.000000,0.011786,0.000572,-0.000572
1.022594,1.167603,0.000000,0.011806,-0.002002,0.020310
1.022586,1.167596,0.000000,0.011782,-0.004863,-0.010584
1.022594,1.167604,0.000000,0.011809,-0.002002,-0.011156
1.022617,1.167627,0.000000,0.011821,0.014875,-0.000572
1.022616,1.167626,0.000000,0.011826,-0.002002,-0.000572
1.022605,1.167614,0.000000,0.011809,-0.018880,0.009726
1.022622,1.167632,0.000000,0.011829,-0.002002,0.020310
1.022636,1.167646,0.000000,0.011857,0.014875,0.020310
1.022664,1.167674,0.000000,0.011891,0.012014,-0.021740
1.022690,1.167699,0.000000,0.011906,-0.018880,-0.000858
1.022711,1.167721,0.000000,0.011915,-0.002002,-0.031752
1.022713,1.167722,0.000000,0.011933,0.014875,-0.031752
1.022713,1.167723,0.000000,0.011930,0.000572,0.041478
1.022695,1.167705,0.000000,0.011902,0.000572,-0.010584
1.022684,1.167693,0.000000,0.011891,0.000572,-0.010584
1.022706,1.167716,0.000000,0.011900,-0.002002,-0.010584
1.022704,1.167714,0.000000,0.011910,0.000572,-0.000572
1.022714,1.167723,0.000000,0.011908,0.014875,0.009726
1.022680,1.167690,0.000000,0.011878,0.031752,-0.031752
1.022704,1.167714,0.000000,0.011924,-0.002002,-0.000572
1.022676,1.167686,0.000000,0.011900,-0.004863,-0.021740
1.022679,1.167688,0.000000,0.011904,-0.002002,-0.000572
1.022687,1.167697,0.000000,0.011911,-0.004863,-0.000572
1.022745,1.167754,0.000000,0.011949,-0.004863,-0.000572
1.022754,1.167764,0.000000,0.011959,-0.002002,-0.010584
1.022783,1.167793,0.000000,0.011979,0.014875,-0.021740
1.022766,1.167776,0.000000,0.011975,-0.002002,-0.000572
1.022805,1.167814,0.000000,0.012012,-0.002002,-0.011156
1.022836,1.167845,0.000000,0.012032,0.014875,0.020310
1.022803,1.167812,0.000000,0.012003,-0.002002,-0.011156
1.022796,1.167806,0.000000,0.012012,-0.004863,-0.000572
1.022804,1.167814,0.000000,0.012006,-0.002002,-0.010584
1.022789,1.167799,0.000000,0.011999,-0.004863,-0.000572
1.022764,1.167773,0.000000,0.011966,0.014875,0.020310
1.022766,1.167775,0.000000,0.011975,0.000572,-0.000572
1.022793,1.167803,0.000000,0.012006,-0.002002,-0.010584
1.022804,1.167814,0.000000,0.012018,-0.016305,-0.000572
1.022808,1.167818,0.000000,0.012027,0.017163,-0.000572
1.022846,1.167856,0.000000,0.012056,0.014875,-0.000572
1.022822,1.167832,0.000000,0.012038,-0.004863,-0.010584
1.022801,1.167811,0.000000,0.012014,-0.018880,-0.000572
1.022817,1.167827,0.000000,0.012032,-0.004863,-0.021740
1.022828,1.167838,0.000000,0.012029,-0.002002,0.009726
1.022815,1.167825,0.000000,0.012032,-0.002002,-0.052920
1.022844,1.167854,0.000000,0.012036,0.009726,-0.010584
1.022809,1.167819,0.000000,0.012005,-0.002002,-0.031752
1.022811,1.167821,0.000000,0.012013,0.017163,-0.000572
1.022810,1.167820,0.000000,0.012024,0.034040,0.031466
1.022809,1.167819,0.000000,0.012015,-0.002002,-0.000572
1.022806,1.167816,0.000000,0.012006,-0.002002,-0.010584
1.022805,1.167814,0.000000,0.012020,-0.018880,-0.010584
1.022787,1.167796,0.000000,0.011995,-0.002002,-0.000572
1.022790,1.167799,0.000000,0.012005,0.014875,-0.010584
1.022814,1.167824,0.000000,0.012014,0.000572,-0.000572
1.022793,1.167803,0.000000,0.012006,-0.002002,0.010298
1.022788,1.167798,0.000000,0.012001,-0.018880,-0.010584
1.022792,1.167801,0.000000,0.012004,0.017163,-0.000572
1.022779,1.167788,0.000000,0.011997,-0.021454,-0.000572
1.022800,1.167810,0.000000,0.012009,-0.016305,-0.010584
1.022820,1.167829,0.000000,0.012037,0.014875,-0.000572
1.022820,1.167829,0.000000,0.012028,-0.002002,-0.000572
1.022836,1.167845,0.000000,0.012040,-0.002002,0.009726
1.022836,1.167845,0.000000,0.012042,-0.004863,-0.000572
1.022829,1.167839,0.000000,0.012033,-0.002002,-0.000572
1.022830,1.167840,0.000000,0.012047,-0.004863,-0.000572
1.022835,1.167845,0.000000,0.012042,0.034040,-0.021740
1.022810,1.167819,0.000000,0.012013,0.028892,-0.010584
1.022792,1.167802,0.000000,0.011996,0.014875,-0.021740
1.022813,1.167822,0.000000,0.012015,-0.002002,0.020310
1.022817,1.167827,0.000000,0.012031,0.014875,0.020310
1.022809,1.167819,0.000000,0.012021,0.000572,-0.010584
1.022787,1.167797,0.000000,0.012010,0.014875,-0.021740
1.022796,1.167806,0.000000,0.012009,-0.002002,-0.000572
1.022809,1.167819,0.000000,0.012013,0.028892,0.020310
1.022790,1.167800,0.000000,0.012011,0.000572,-0.021740
1.022766,1.167776,0.000000,0.011981,0.017163,0.020310
1.022746,1.167756,0.000000,0.011960,-0.004863,0.020310
1.022753,1.167763,0.000000,0.011961,0.000572,0.009726
1.022742,1.167752,0.000000,0.011953,0.017163,-0.000572
1.022774,1.167784,0.000000,0.011983,-0.002002,-0.010584
1.022759,1.167768,0.000000,0.011975,0.012014,0.020310
1.022783,1.167793,0.000000,0.011979,-0.002002,-0.010584
1.022797,1.167807,0.000000,0.012012,0.017163,0.009726
1.022787,1.167796,0.000000,0.011998,0.014875,-0.000572
1.022794,1.167804,0.000000,0.012000,0.014875,0.020310
1.022786,1.167796,0.000000,0.011982,0.014875,0.009726
1.022778,1.167788,0.000000,0.011987,0.000572,-0.021740
1.022793,1.167802,0.000000,0.012001,-0.002002,-0.021740
1.022773,1.167782,0.000000,0.011975,-0.002002,0.010298
1.022791,1.167800,0.000000,0.011999,0.014875,-0.000572
1.022793,1.167803,0.000000,0.012004,-0.002002,-0.000572
1.022789,1.167799,0.000000,0.011990,0.000572,-0.000572
1.022805,1.167814,0.000000,0.012011,0.031752,-0.000572
1.022802,1.167811,0.000000,0.012012,0.000572,-0.000572
1.022804,1.167813,0.000000,0.011998,0.017163,-0.000572
1.022794,1.167804,0.000000,0.012000,-0.002002,-0.000572
1.022753,1.167763,0.000000,0.011964,-0.004863,0.030894
1.022796,1.167806,0.000000,0.012002,0.014875,0.020310
1.022808,1.167818,0.000000,0.012025,-0.002002,-0.031752
1.022797,1.167807,0.000000,0.012011,0.014875,-0.000572
1.022804,1.167813,0.000000,0.012007,0.017163,-0.010584
1.022797,1.167807,0.000000,0.012003,-0.018880,-0.011156
1.022820,1.167830,0.000000,0.012029,-0.002002,0.009726
1.022813,1.167823,0.000000,0.012044,-0.002002,-0.021740
1.022831,1.167841,0.000000,0.012034,0.003147,-0.021740
1.022812,1.167822,0.000000,0.012025,0.014875,-0.031752
1.022828,1.167838,0.000000,0.012044,0.000572,0.020310
1.022847,1.167857,0.000000,0.012057,-0.002002,0.030894
1.022802,1.167812,0.000000,0.012021,-0.016305,-0.000572
1.022864,1.167874,0.000000,0.012089,-0.002002,0.020310
1.022866,1.167875,0.000000,0.012063,0.000572,-0.000572
1.022851,1.167861,0.000000,0.012055,-0.002002,0.009726
1.022878,1.167888,0.000000,0.012090,-0.004863,-0.000572
1.022931,1.167941,0.000000,0.012148,-0.002002,-0.000572
1.022950,1.167959,0.000000,0.012153,-0.004863,0.009726
1.022972,1.167982,0.000000,0.012170,-0.002002,-0.021740
1.022966,1.167975,0.000000,0.012164,-0.018880,0.010298
1.022955,1.167964,0.000000,0.012164,-0.002002,-0.000572
1.022942,1.167952,0.000000,0.012157,-0.004863,0.009726
1.022979,1.167988,0.000000,0.012173,-0.018880,0.009726
1.022963,1.167973,0.000000,0.012167,0.014875,-0.000572
1.022954,1.167964,0.000000,0.012166,-0.002002,0.020310
1.022948,1.167958,0.000000,0.012177,-0.002002,-0.021740
1.022983,1.167993,0.000000,0.012189,0.014875,0.009726
1.022977,1.167987,0.000000,0.012196,0.028892,0.009726
1.022990,1.168000,0.000000,0.012200,0.012014,-0.021740
1.022985,1.167995,0.000000,0.012196,0.000572,0.020310
1.023013,1.168023,0.000000,0.012222,0.014875,0.020024
1.023032,1.168041,0.000000,0.012228,-0.004863,0.009726
1.023019,1.168029,0.000000,0.012222,-0.021454,0.010298
1.023038,1.168048,0.000000,0.012235,-0.002002,-0.042908
1.023023,1.168033,0.000000,0.012243,-0.002002,-0.010584
1.023023,1.168033,0.000000,0.012243,0.031752,-0.000572
1.023078,1.168088,0.000000,0.012286,0.000572,-0.000572
1.023080,1.168090,0.000000,0.012292,-0.007151,-0.000572
1.023082,1.168091,0.000000,0.012282,-0.018880,-0.000572
1.023073,1.168083,0.000000,0.012295,-0.002002,-0.000572
1.023071,1.168081,0.000000,0.012275,-0.004863,-0.021740
1.023065,1.168074,0.000000,0.012259,0.012014,0.020310
1.023067,1.168077,0.000000,0.012288,-0.004863,-0.021740
1.023080,1.168090,0.000000,0.012282,0.017163,0.009726
1.023089,1.168099,0.000000,0.012293,-0.002002,-0.000572
1.023064,1.168074,0.000000,0.012266,0.012014,-0.000572
1.023050,1.168060,0.000000,0.012252,0.000572,-0.000572
1.023038,1.168048,0.000000,0.012248,0.031752,0.009726
1.023078,1.168088,0.000000,0.012291,-0.018880,-0.000572
1.023054,1.168063,0.000000,0.012261,0.014875,0.020310
1.023051,1.168060,0.000000,0.012268,-0.004863,0.010298
1.023040,1.168049,0.000000,0.012260,-0.004863,-0.000572
1.023072,1.168082,0.000000,0.012283,0.028892,0.020310
1.023048,1.168057,0.000000,0.012253,-0.021454,0.020310
1.023073,1.168082,0.000000,0.012286,0.000572,-0.000572
1.023040,1.168049,0.000000,0.012242,0.012014,-0.000572
1.023043,1.168053,0.000000,0.012249,-0.002002,-0.000572
1.023035,1.168045,0.000000,0.012253,-0.002002,0.030894
1.023070,1.168080,0.000000,0.012288,-0.002002,-0.052920
1.023111,1.168120,0.000000,0.012315,-0.002002,-0.021740
1.023073,1.168083,0.000000,0.012292,-0.004863,-0.021740
1.023093,1.168103,0.000000,0.012295,-0.002002,-0.000572
1.023106,1.168115,0.000000,0.012331,0.000572,-0.000572
1.023134,1.168144,0.000000,0.012341,-0.021454,0.072658
1.023129,1.168139,0.000000,0.012332,0.012014,0.020310
1.023143,1.168153,0.000000,0.012352,0.031752,-0.010584
1.023180,1.168190,0.000000,0.012382,-0.002002,-0.021740
1.023193,1.168202,0.000000,0.012394,-0.018880,0.009726
1.023184,1.168193,0.000000,0.012393,-0.002002,0.020310
1.023194,1.168203,0.000000,0.012404,-0.004863,0.030894
1.023188,1.168198,0.000000,0.012401,-0.004863,0.030894
1.023178,1.168188,0.000000,0.012393,-0.002002,0.010298
1.023186,1.168196,0.000000,0.012388,-0.016305,0.030894
1.023184,1.168194,0.000000,0.012408,0.000572,-0.000572
1.023201,1.168210,0.000000,0.012408,0.000572,-0.000572
1.023217,1.168227,0.000000,0.012429,-0.002002,0.009726
1.023227,1.168237,0.000000,0.012436,0.009726,-0.010584
1.023209,1.168219,0.000000,0.012406,-0.002002,-0.000572
1.023220,1.168230,0.000000,0.012425,-0.004863,0.020310
1.023171,1.168181,0.000000,0.012392,-0.002002,-0.000572
1.023200,1.168209,0.000000,0.012415,-0.002002,0.020310
1.023207,1.168217,0.000000,0.012419,-0.002002,-0.000572
1.023237,1.168247,0.000000,0.012464,-0.021454,-0.000572
1.023240,1.168250,0.000000,0.012445,0.017163,-0.000572
1.023237,1.168247,0.000000,0.012439,0.014875,0.020310
1.023232,1.168242,0.000000,0.012452,0.014875,-0.010584
1.023250,1.168260,0.000000,0.012451,0.000572,-0.000572
1.023253,1.168262,0.000000,0.012456,-0.002002,-0.010584
1.023272,1.168282,0.000000,0.012486,-0.004863,0.020310
1.023298,1.168308,0.000000,0.012509,-0.004863,-0.010584
1.023312,1.168322,0.000000,0.012521,0.014875,-0.010584
1.023340,1.168350,0.000000,0.012545,0.014875,-0.010584
1.023327,1.168337,0.000000,0.012528,-0.002002,-0.000572
1.023301,1.168310,0.000000,0.012507,-0.016305,-0.000572
1.023308,1.168318,0.000000,0.012525,0.000572,0.009726
1.012653,1.155026,0.084666,0.014430,-1.169105,1.189987
0.979051,1.111597,0.246318,0.037581,-1.222883,1.173968
0.939270,1.047704,0.385316,0.094908,-1.191989,1.260070
0.895251,0.972429,0.527386,0.193349,-1.331584,1.199427
0.858562,0.902759,0.682127,0.325745,-1.352180,1.093014
0.822784,0.844402,0.817669,0.473686,-1.347603,1.309843
0.788193,0.793272,0.958587,0.625838,-1.283240,1.063837
0.757315,0.760957,1.102385,0.771283,-1.404241,1.185982
0.747758,0.747564,1.254630,0.905157,-1.209438,1.283240
0.740558,0.726319,1.343904,1.004538,-1.365624,0.605291
0.726804,0.690993,1.290915,1.056305,-0.229988,0.193373
0.716594,0.657533,1.162284,1.073789,-0.194517,0.205101
0.697841,0.631829,1.075123,1.067389,-0.120429,0.102121
0.671506,0.618294,0.990457,1.044661,-0.169344,0.197664
0.638372,0.604287,0.906367,1.005628,-0.002861,0.186794
0.605650,0.582302,0.914430,0.956913,-1.010630,0.714850
0.572359,0.558024,0.971834,0.902645,-0.943980,0.809534
0.533011,0.528647,1.014839,0.842068,-0.676805,0.717139
0.490615,0.491717,1.034998,0.777265,-0.528057,0.338689
0.451230,0.449695,1.023671,0.711928,-0.292634,0.166198
0.414125,0.406502,1.003128,0.647419,-0.072372,-0.007723
0.381805,0.365264,0.972794,0.586039,-0.006865,-0.062932
0.352745,0.329302,0.928445,0.529503,-0.011442,-0.177068
0.326442,0.297006,0.883521,0.476931,0.044911,-0.167342
